#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         312     1.36298     1.35714  0.00567403
         313     1.32984     1.35705  0.00565658
         314     1.30572     1.35689  0.00564092
         315     1.30131     1.35671  0.00562577
         316     1.29545     1.35652  0.00561131
         317     1.30509     1.35636  0.00559596
         318     1.31552     1.35623  0.00557983
         319     1.32434     1.35613  0.00556324
         320     1.32994     1.35605  0.00554645
         321     1.31857     1.35593   0.0055304
         322     1.32721     1.35584  0.00551395
         323     1.36418     1.35587  0.00549694
         324     1.38644     1.35596  0.00548078
         325     1.37759     1.35603  0.00546432
         326     1.38596     1.35612  0.00544833
         327     1.36762     1.35616  0.00543178
         328     1.33364     1.35609  0.00541565
         329     1.30314     1.35593  0.00540158
         330     1.29923     1.35575  0.00538795
         331     1.31792     1.35564  0.00537288
         332     1.33466     1.35558  0.00535707
         333     1.33962     1.35553   0.0053412
         334      1.3216     1.35543  0.00532617
         335     1.33315     1.35536  0.00531069
         336     1.33574      1.3553   0.0052952
         337     1.35163     1.35529   0.0052795
         338     1.34416     1.35526  0.00526398
         339     1.32892     1.35518  0.00524903
         340     1.31541     1.35506  0.00523489
         341     1.31465     1.35495  0.00522088
         342      1.3257     1.35486  0.00520632
         343     1.34755     1.35484  0.00519118
         344     1.37191     1.35489  0.00517633
         345     1.36779     1.35493  0.00516146
         346     1.37872     1.35499    0.005147
         347      1.3563       1.355  0.00513217
         348     1.34383     1.35497  0.00511752
         349     1.33379     1.35491  0.00510322
         350     1.31631      1.3548  0.00508983
         351     1.29228     1.35462  0.00507844
         352     1.29684     1.35445  0.00506667
         353     1.31567     1.35434  0.00505351
         354     1.31763     1.35424   0.0050403
         355      1.3087     1.35411  0.00502773
         356     1.30695     1.35398  0.00501535
         357     1.31272     1.35386  0.00500264
         358     1.30969     1.35374  0.00499018
         359     1.30678     1.35361    0.004978
         360     1.29364     1.35344  0.00496695
         361     1.29851     1.35329  0.00495553
         362     1.30458     1.35316  0.00494366
         363        1.33     1.35309  0.00493046
         364      1.3461     1.35307  0.00491695
         365     1.35336     1.35307  0.00490348
         366     1.35495     1.35308  0.00489008
         367      1.3529     1.35308  0.00487676
         368     1.33975     1.35304  0.00486364
         369     1.32976     1.35298  0.00485087
         370     1.34773     1.35296  0.00483778
         371     1.33152     1.35291  0.00482508
         372     1.31511     1.35281  0.00481318
         373     1.32026     1.35272  0.00480107
         374     1.30984      1.3526   0.0047896
         375     1.30339     1.35247  0.00477863
         376      1.3244      1.3524   0.0047665
         377     1.34667     1.35238  0.00475388
         378     1.32783     1.35232  0.00474175
