#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         355     1.59675     1.59657 1.86741e-05
         356     1.59591     1.59657 1.87135e-05
         357      1.5962     1.59657 1.86906e-05
         358     1.59625     1.59657 1.86598e-05
         359     1.59647     1.59657 1.86099e-05
         360     1.59663     1.59657  1.8559e-05
         361     1.59724     1.59657 1.85995e-05
         362     1.59609     1.59657 1.85957e-05
         363     1.59648     1.59657 1.85463e-05
         364     1.59716     1.59657 1.85665e-05
         365     1.59681     1.59657  1.8527e-05
         366     1.59706     1.59657 1.85233e-05
         367     1.59637     1.59657 1.84812e-05
         368     1.59614     1.59657 1.84685e-05
         369     1.59696     1.59657 1.84483e-05
         370     1.59648     1.59657    1.84e-05
         371     1.59667     1.59657 1.83522e-05
         372     1.59615     1.59657 1.83386e-05
         373      1.5969     1.59657 1.83108e-05
         374     1.59676     1.59657 1.82688e-05
         375     1.59611     1.59657 1.82612e-05
         376     1.59752     1.59657 1.83871e-05
         377     1.59651     1.59657 1.83391e-05
         378     1.59649     1.59657 1.82919e-05
         379     1.59648     1.59657 1.82452e-05
         380     1.59683     1.59657 1.82094e-05
         381     1.59657     1.59657 1.81616e-05
         382     1.59612     1.59657 1.81531e-05
         383     1.59629     1.59657 1.81204e-05
         384     1.59689     1.59657  1.8092e-05
         385     1.59675     1.59657 1.80508e-05
         386     1.59709     1.59658 1.80544e-05
         387     1.59692     1.59658 1.80301e-05
         388     1.59648     1.59658 1.79853e-05
         389     1.59612     1.59657 1.79778e-05
         390     1.59603     1.59657 1.79851e-05
         391     1.59651     1.59657 1.79399e-05
         392     1.59661     1.59657 1.78945e-05
         393     1.59666     1.59657 1.78503e-05
         394     1.59689     1.59657 1.78232e-05
         395     1.59636     1.59657  1.7786e-05
         396     1.59655     1.59657 1.77412e-05
         397     1.59703     1.59657 1.77345e-05
         398     1.59616     1.59657 1.77199e-05
         399     1.59643     1.59657 1.76794e-05
         400     1.59647     1.59657 1.76371e-05
         401     1.59621     1.59657 1.76163e-05
         402     1.59706     1.59657 1.76149e-05
         403     1.59714     1.59657 1.76266e-05
         404     1.59617     1.59657 1.76116e-05
         405     1.59673     1.59657 1.75724e-05
         406     1.59641     1.59657  1.7534e-05
         407     1.59657     1.59657  1.7491e-05
         408     1.59603     1.59657 1.74981e-05
         409     1.59691     1.59657 1.74747e-05
         410     1.59685     1.59657 1.74451e-05
         411      1.5963     1.59657 1.74153e-05
         412     1.59636     1.59657 1.73807e-05
         413     1.59661     1.59657 1.73389e-05
         414     1.59686     1.59657 1.73108e-05
         415     1.59642     1.59657 1.72729e-05
         416     1.59664     1.59657 1.72322e-05
         417     1.59672     1.59657 1.71944e-05
         418     1.59674     1.59657 1.71577e-05
         419     1.59599     1.59657 1.71724e-05
         420     1.59644     1.59657 1.71344e-05
         421     1.59668     1.59657 1.70958e-05
         422     1.59704     1.59657 1.70908e-05
         423     1.59607     1.59657 1.70912e-05
         424     1.59706     1.59657 1.70901e-05
         425     1.59607     1.59657 1.70904e-05
         426     1.59698     1.59657 1.70777e-05
         427      1.5966     1.59657 1.70379e-05
         428      1.5967     1.59657 1.70005e-05
         429      1.5966     1.59657  1.6961e-05
         430     1.59626     1.59657 1.69374e-05
         431     1.59691     1.59657 1.69163e-05
         432     1.59691     1.59657 1.68945e-05
         433     1.59625     1.59657 1.68717e-05
         434     1.59681     1.59657 1.68418e-05
         435     1.59658     1.59657 1.68031e-05
         436     1.59628     1.59657  1.6778e-05
         437     1.59705     1.59658 1.67743e-05
         438     1.59623     1.59657 1.67543e-05
         439     1.59683     1.59657 1.67261e-05
         440     1.59715     1.59658 1.67385e-05
         441     1.59657     1.59658 1.67006e-05
         442     1.59632     1.59658 1.66725e-05
         443     1.59766     1.59658  1.6814e-05
         444     1.59565     1.59658 1.69043e-05
         445      1.5967     1.59658 1.68688e-05
         446     1.59639     1.59658 1.68359e-05
         447     1.59578     1.59657 1.68913e-05
         448     1.59649     1.59657 1.68547e-05
         449     1.59656     1.59657 1.68172e-05
         450     1.59646     1.59657 1.67817e-05
         451     1.59688     1.59657 1.67581e-05
         452     1.59611     1.59657 1.67529e-05
         453     1.59636     1.59657 1.67224e-05
         454     1.59702     1.59657 1.67152e-05
         455      1.5971     1.59657 1.67188e-05
         456     1.59607     1.59657 1.67187e-05
         457     1.59694     1.59657 1.67016e-05
         458     1.59668     1.59657 1.66668e-05
         459     1.59635     1.59657  1.6638e-05
         460     1.59668     1.59657 1.66035e-05
         461     1.59662     1.59657 1.65678e-05
         462     1.59665     1.59657 1.65327e-05
         463     1.59687     1.59658 1.65094e-05
         464     1.59726     1.59658 1.65396e-05
         465     1.59636     1.59658 1.65106e-05
         466     1.59631     1.59658 1.64849e-05
         467     1.59709     1.59658 1.64861e-05
         468      1.5969     1.59658 1.64651e-05
         469     1.59684     1.59658 1.64394e-05
         470     1.59604     1.59658 1.64446e-05
         471     1.59655     1.59658 1.64098e-05
         472     1.59651     1.59658 1.63757e-05
         473      1.5972     1.59658 1.63941e-05
         474      1.5964     1.59658 1.63638e-05
         475     1.59666     1.59658 1.63302e-05
         476     1.59629     1.59658 1.63074e-05
         477     1.59709     1.59658 1.63084e-05
         478     1.59648     1.59658 1.62755e-05
         479     1.59669     1.59658 1.62432e-05
         480     1.59623     1.59658 1.62258e-05
