#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         288   -0.369324   -0.440704  0.00923738
         289   -0.360579   -0.440427  0.00920957
         290    -0.35393   -0.440129  0.00918264
         291   -0.379516    -0.43992  0.00915345
         292   -0.414088   -0.439832  0.00912253
         293   -0.431921   -0.439805  0.00909144
         294   -0.408979     -0.4397  0.00906112
         295   -0.414553   -0.439615   0.0090308
         296   -0.431024   -0.439586  0.00900034
         297   -0.458205   -0.439649  0.00897025
         298   -0.444262   -0.439664  0.00894017
         299   -0.427071   -0.439622  0.00891036
         300    -0.43475   -0.439606  0.00888068
         301   -0.441276   -0.439611  0.00885118
         302   -0.470931   -0.439715  0.00882247
         303   -0.445434   -0.439734  0.00879338
         304   -0.432696   -0.439711  0.00876448
         305   -0.415883   -0.439633  0.00873609
         306   -0.421976   -0.439575  0.00870774
         307    -0.40852   -0.439474  0.00867996
         308   -0.411134   -0.439382  0.00865227
         309   -0.399515   -0.439253  0.00862523
         310   -0.440822   -0.439258   0.0085974
         311   -0.442742   -0.439269  0.00856977
         312   -0.447793   -0.439296  0.00854234
         313   -0.397966   -0.439164  0.00851607
         314   -0.361464   -0.438917  0.00849255
         315   -0.355226   -0.438651  0.00846974
         316   -0.346614    -0.43836  0.00844794
         317   -0.361194   -0.438116   0.0084248
         318   -0.376383   -0.437922  0.00840054
         319     -0.3901   -0.437772  0.00837555
         320   -0.398172   -0.437649  0.00835029
         321   -0.381317   -0.437473  0.00832612
         322   -0.394702    -0.43734  0.00830132
         323   -0.449946   -0.437379  0.00827571
         324   -0.483008    -0.43752  0.00825137
         325   -0.469878    -0.43762  0.00822658
         326   -0.482603   -0.437758   0.0082025
         327   -0.454714    -0.43781  0.00817758
         328   -0.403119   -0.437704  0.00815333
         329   -0.357269   -0.437459  0.00813222
         330   -0.353463   -0.437205  0.00811155
         331    -0.38068   -0.437034  0.00808885
         332   -0.405574   -0.436939  0.00806504
         333    -0.41297   -0.436867  0.00804114
         334   -0.385911   -0.436715  0.00801851
         335   -0.403374   -0.436615  0.00799519
         336   -0.407519   -0.436529  0.00797187
         337    -0.43071   -0.436511  0.00794823
         338   -0.419666   -0.436461  0.00792487
         339   -0.396891   -0.436345  0.00790235
         340   -0.376596   -0.436169  0.00788106
         341   -0.375328   -0.435991  0.00785997
         342   -0.392186   -0.435862  0.00783803
         343   -0.425238   -0.435832  0.00781524
         344   -0.461274   -0.435905  0.00779287
         345   -0.455206   -0.435961  0.00777049
         346   -0.471494   -0.436064  0.00774871
         347   -0.437852   -0.436069  0.00772638
         348   -0.419106   -0.436021  0.00770433
         349   -0.403986   -0.435929   0.0076828
         350   -0.377045    -0.43576  0.00766269
         351   -0.342012   -0.435493  0.00764552
         352   -0.349171   -0.435248  0.00762773
         353   -0.377082   -0.435083   0.0076079
         354    -0.37994   -0.434928    0.007588
         355   -0.366371   -0.434735  0.00756908
         356   -0.364191   -0.434536  0.00755042
         357   -0.372567   -0.434363  0.00753126
         358   -0.367787   -0.434177  0.00751252
         359   -0.363797   -0.433981  0.00749415
         360    -0.34367    -0.43373  0.00747753
         361   -0.351566   -0.433502  0.00746028
         362    -0.36041     -0.4333   0.0074424
         363   -0.398606   -0.433205  0.00742252
