#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         231        0.36   0.0815584   0.0148824
         232        0.44   0.0831034   0.0148982
         233        0.32   0.0841202   0.0148689
         234        0.48    0.085812   0.0149013
         235         0.2   0.0862979   0.0148458
         236        0.12   0.0864407   0.0147836
         237       -0.12   0.0855696   0.0147468
         238       -0.24   0.0842017   0.0147482
         239        -0.2   0.0830126   0.0147344
         240       -0.24   0.0816667   0.0147343
         241        -0.2   0.0804979   0.0147194
         242       -0.36   0.0786777   0.0147707
         243       -0.36   0.0768724   0.0148199
         244         0.2    0.077377   0.0147677
         245        0.28   0.0782041   0.0147306
         246        0.32    0.079187   0.0147034
         247        0.08   0.0791903   0.0146439
         248       -0.04   0.0787097   0.0145928
         249        0.04   0.0785542    0.014535
         250       -0.08     0.07792   0.0144907
         251       -0.12   0.0771315   0.0144544
         252        0.28   0.0779365   0.0144194
         253        0.16   0.0782609   0.0143661
         254        0.52        0.08   0.0144144
         255        0.64   0.0821961   0.0145242
         256        0.28   0.0829688    0.014488
         257        0.44    0.084358   0.0144981
         258        0.36   0.0854264   0.0144812
         259         0.2   0.0858687    0.014432
         260        0.08   0.0858462   0.0143765
         261         0.4   0.0870498   0.0143718
         262        0.52   0.0887023   0.0144116
         263        0.36   0.0897338   0.0143937
         264        0.48   0.0912121   0.0144149
         265        -0.2   0.0901132   0.0144023
         266       -0.32   0.0885714   0.0144304
         267        -0.2   0.0874906   0.0144168
         268           0   0.0871642   0.0143667
         269        0.04   0.0869888   0.0143144
         270       -0.04   0.0865185   0.0142691
         271        0.16   0.0867897    0.014219
         272        0.16   0.0870588   0.0141693
         273        0.24    0.087619   0.0141284
         274        0.44   0.0889051   0.0141353
         275        0.72      0.0912    0.014269
         276         0.4   0.0923188   0.0142611
         277         0.4   0.0934296   0.0142528
         278        0.28   0.0941007   0.0142173
         279        0.36   0.0950538   0.0141982
         280        0.24   0.0955714    0.014157
         281        0.08    0.095516   0.0141067
         282        0.12   0.0956028   0.0140569
         283        0.04   0.0954064   0.0140086
         284        0.12    0.095493   0.0139596
         285        0.12   0.0955789   0.0139109
         286       -0.08    0.094965   0.0138758
         287       -0.04   0.0944948   0.0138354
         288       -0.16   0.0936111   0.0138155
         289         0.2   0.0939792   0.0137726
         290        0.04   0.0937931   0.0137264
         291       -0.08   0.0931959   0.0136922
         292       -0.16   0.0923288   0.0136728
         293       -0.08   0.0917406   0.0136387
         294        -0.2   0.0907483   0.0136284
         295       -0.36   0.0892203   0.0136676
         296       -0.24   0.0881081   0.0136666
         297        -0.2    0.087138    0.013655
         298       -0.16   0.0863087   0.0136343
         299           0   0.0860201   0.0135918
         300        0.44      0.0872   0.0135976
         301        0.28   0.0878405   0.0135675
         302        0.12    0.087947    0.013523
         303       -0.16   0.0871287   0.0135031
         304       -0.04   0.0867105   0.0134651
         305        0.08   0.0866885    0.013421
         306         0.2   0.0870588   0.0133822
         307        0.08   0.0870358   0.0133387
         308       -0.16   0.0862338   0.0133195
         309        0.16   0.0864725   0.0132785
         310        0.16   0.0867097   0.0132378
         311         0.2    0.087074   0.0132002
         312        0.04   0.0869231   0.0131588
         313        0.16   0.0871565   0.0131188
         314        0.04   0.0870064   0.0130779
         315           0   0.0867302   0.0130393
         316       -0.04   0.0863291   0.0130042
         317        0.16   0.0865615   0.0129652
         318        0.04   0.0864151   0.0129253
         319        0.28   0.0870219    0.012899
         320        0.16     0.08725   0.0128607
         321        0.08   0.0872274   0.0128207
         322       -0.08   0.0867081   0.0127914
         323        0.04   0.0865635   0.0127526
         324        0.12   0.0866667   0.0127137
         325        0.12   0.0867692   0.0126749
         326        0.04   0.0866258   0.0126369
         327           0   0.0863609    0.012601
         328        -0.2   0.0854878   0.0125928
         329        0.16   0.0857143   0.0125566
         330       -0.08   0.0852121   0.0125285
         331        0.04   0.0850755   0.0124914
         332        0.28   0.0856627   0.0124676
         333        0.32   0.0863664     0.01245
         334        0.16   0.0865868   0.0124147
         335         0.2   0.0869254   0.0123822
         336        0.04   0.0867857   0.0123462
         337        0.08   0.0867656   0.0123096
         338       -0.32   0.0855621   0.0123318
         339       -0.04   0.0851917    0.012301
         340        0.04   0.0850588   0.0122656
         341           0   0.0848094   0.0122321
         342       -0.28   0.0837427   0.0122428
         343       -0.32   0.0825656   0.0122635
         344        -0.4   0.0811628   0.0123079
         345       -0.36   0.0798841   0.0123384
         346       -0.44   0.0783815   0.0123939
         347        -0.2   0.0775793   0.0123841
         348        0.04   0.0774713    0.012349
         349       -0.24   0.0765616   0.0123471
         350        0.24   0.0770286   0.0123207
         351        0.48   0.0781766   0.0123389
         352        0.36   0.0789773   0.0123298
         353        0.16   0.0792068    0.012297
         354        0.08    0.079209   0.0122623
         355           0   0.0789859   0.0122298
         356        0.36   0.0797753   0.0122209
         357        0.44   0.0807843   0.0122282
         358        0.12   0.0808939   0.0121946
         359       -0.12   0.0803343   0.0121734
         360           0   0.0801111   0.0121417
         361       -0.08   0.0796676   0.0121161
         362       -0.08   0.0792265   0.0120907
         363        0.04   0.0791185   0.0120578
         364        0.32   0.0797802   0.0120429
         365        0.28   0.0803288   0.0120224
         366        0.24    0.080765   0.0119974
         367        0.12   0.0808719   0.0119652
         368        0.36   0.0816304   0.0119567
         369           0   0.0814092   0.0119264
         370       -0.04   0.0810811   0.0118986
         371        0.24   0.0815094   0.0118743
         372        0.12   0.0816129   0.0118428
         373        0.28   0.0821448    0.011823
         374        0.08    0.082139   0.0117914
         375       -0.16   0.0814933   0.0117776
         376       -0.04   0.0811702   0.0117507
         377       -0.36        0.08   0.0117777
         378       -0.12   0.0794709   0.0117584
         379        0.12   0.0795778   0.0117278
         380           0   0.0793684   0.0116989
         381        -0.4   0.0781102   0.0117356
         382           0   0.0779058   0.0117067
         383        0.44   0.0788512   0.0117142
         384         0.2   0.0791667    0.011688
         385       -0.12   0.0786494    0.011669
         386       -0.16   0.0780311   0.0116552
         387       -0.28   0.0771059   0.0116617
         388       -0.12   0.0765979   0.0116427
         389         0.2   0.0769152   0.0116171
         390         0.2   0.0772308   0.0115916
         391         0.2   0.0775448   0.0115662
         392       -0.04   0.0772449   0.0115406
         393        0.08   0.0772519   0.0115112
         394       -0.04   0.0769543   0.0114859
         395        0.04   0.0768608   0.0114572
         396        0.24   0.0772727   0.0114356
         397         0.4   0.0780856   0.0114357
         398        0.32   0.0786935   0.0114231
         399       -0.12   0.0781955   0.0114053
         400       -0.32      0.0772   0.0114202
         401       -0.36   0.0761097   0.0114436
         402       -0.28   0.0752239   0.0114494
         403       -0.16   0.0746402   0.0114358
         404       -0.12   0.0741584   0.0114177
         405       -0.16   0.0735802   0.0114041
         406       -0.28   0.0727094   0.0114092
         407        0.08   0.0727273   0.0113812
         408        0.24   0.0731373   0.0113607
         409        0.16   0.0733496   0.0113349
         410        0.16    0.073561   0.0113092
         411           0    0.073382   0.0112831
         412           0   0.0732039   0.0112572
         413        0.12   0.0733172   0.0112305
         414       -0.12   0.0728502    0.011213
         415        0.12   0.0729639   0.0111866
         416        0.32   0.0735577   0.0111755
         417        0.08   0.0735731   0.0111487
         418        0.48   0.0745455   0.0111643
         419        0.84   0.0763723   0.0112862
         420        0.84   0.0781905   0.0114048
         421        0.64   0.0795249   0.0114555
         422        0.56   0.0806635   0.0114848
