#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         242       -0.44   -0.452231    0.008066
         243       -0.28   -0.451523  0.00806389
         244       -0.44   -0.451475  0.00803098
         245       -0.52   -0.451755  0.00800307
         246       -0.44   -0.451707  0.00797068
         247       -0.44    -0.45166  0.00793855
         248       -0.36    -0.45129  0.00791514
         249       -0.52   -0.451566  0.00788816
         250       -0.52    -0.45184  0.00786135
         251        -0.6    -0.45243  0.00785216
         252        -0.6   -0.453016  0.00784281
         253        -0.6   -0.453597   0.0078333
         254       -0.52   -0.453858  0.00780682
         255       -0.36    -0.45349  0.00778488
         256       -0.44   -0.453437  0.00775464
         257        -0.6   -0.454008  0.00774541
         258       -0.36   -0.453643  0.00772396
         259       -0.52     -0.4539  0.00769838
         260       -0.52   -0.454154  0.00767297
         261        -0.6   -0.454713  0.00766389
         262        -0.6   -0.455267  0.00765468
         263       -0.44   -0.455209  0.00762579
         264       -0.28   -0.454545  0.00762573
         265       -0.44   -0.454491  0.00759715
         266       -0.52   -0.454737  0.00757258
         267       -0.12   -0.453483   0.0076473
         268       -0.28   -0.452836  0.00764611
         269       -0.44   -0.452788  0.00761783
         270        -0.6   -0.453333  0.00760911
         271       -0.28   -0.452694  0.00760786
         272       -0.36   -0.452353  0.00758752
         273       -0.52   -0.452601  0.00756377
         274       -0.44   -0.452555  0.00753631
         275       -0.44   -0.452509  0.00750904
         276       -0.52   -0.452754  0.00748582
         277       -0.36   -0.452419  0.00746628
         278       -0.28   -0.451799  0.00746513
         279       -0.36    -0.45147  0.00744563
         280       -0.28   -0.450857  0.00744418
         281       -0.52   -0.451103  0.00742175
         282        -0.6   -0.451631  0.00741419
         283       -0.52   -0.451873  0.00739192
         284       -0.52   -0.452113  0.00736979
         285       -0.44    -0.45207  0.00734405
         286       -0.28   -0.451469  0.00734298
         287       -0.44   -0.451429   0.0073175
         288       -0.52   -0.451667  0.00729596
         289       -0.44   -0.451626  0.00727083
         290       -0.36    -0.45131  0.00725262
         291       -0.36   -0.450997  0.00723448
         292       -0.28   -0.450411  0.00723337
         293       -0.44   -0.450375  0.00720877
         294       -0.28   -0.449796   0.0072075
         295        -0.6   -0.450305  0.00720103
         296       -0.52   -0.450541  0.00718056
         297       -0.36   -0.450236  0.00716285
         298       -0.36   -0.449933  0.00714521
         299       -0.44     -0.4499  0.00712139
         300       -0.44   -0.449867  0.00709773
         301       -0.52     -0.4501  0.00707797
         302       -0.44   -0.450066  0.00705461
         303       -0.36   -0.449769  0.00703759
         304       -0.36   -0.449474  0.00702063
         305       -0.52   -0.449705  0.00700142
         306       -0.36   -0.449412  0.00698467
         307       -0.44   -0.449381  0.00696199
         308       -0.52    -0.44961  0.00694316
         309       -0.44   -0.449579  0.00692076
         310       -0.36    -0.44929  0.00690446
         311       -0.44    -0.44926  0.00688233
         312        -0.6   -0.449744  0.00687721
         313       -0.44   -0.449712  0.00685531
         314       -0.52   -0.449936  0.00683713
