#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         248       -0.12   0.0117742   0.0117061
         249       -0.12    0.011245    0.011671
         250       -0.28     0.01008   0.0116823
         251        -0.4  0.00844622   0.0117495
         252        -0.4   0.0068254   0.0118141
         253       -0.04  0.00664032   0.0117689
         254       -0.12  0.00614173   0.0117331
         255        0.04  0.00627451   0.0116878
         256       -0.04  0.00609375   0.0116436
         257           0  0.00607004   0.0115983
         258       -0.12   0.0055814   0.0115636
         259       -0.16  0.00494208   0.0115366
         260       -0.04  0.00476923   0.0114936
         261       -0.08  0.00444444   0.0114541
         262       -0.08  0.00412214   0.0114149
         263           0  0.00410646   0.0113715
         264       -0.04  0.00393939   0.0113297
         265        0.16   0.0045283   0.0113022
         266        0.32  0.00571429   0.0113218
         267         0.2  0.00644195   0.0113027
         268        0.36  0.00776119   0.0113373
         269        0.16  0.00832714   0.0113093
         270        0.12  0.00874074   0.0112749
         271        0.04  0.00885609   0.0112339
         272        0.04  0.00897059   0.0111932
         273           0  0.00893773   0.0111523
         274       -0.08  0.00861314   0.0111163
         275           0  0.00858182   0.0110759
         276        0.12  0.00898551   0.0110431
         277        0.24  0.00981949   0.0110347
         278        0.12   0.0102158   0.0110021
         279        0.08   0.0104659   0.0109655
         280        0.08   0.0107143   0.0109292
         281         0.2   0.0113879    0.010911
         282         0.2   0.0120567   0.0108928
         283        0.32   0.0131449   0.0109085
         284        0.48   0.0147887   0.0109933
         285        0.32   0.0158596   0.0110068
         286        0.24   0.0166434   0.0109961
         287        0.04   0.0167247   0.0109581
         288        0.04   0.0168056   0.0109204
         289           0   0.0167474   0.0108827
         290        0.04   0.0168276   0.0108455
         291        0.12   0.0171821    0.010814
         292        0.04   0.0172603   0.0107773
         293           0   0.0172014   0.0107407
         294       -0.08   0.0168707   0.0107092
         295        0.24   0.0176271   0.0106996
         296        0.12    0.017973    0.010669
         297        0.12   0.0183165   0.0106386
         298        0.04   0.0183893   0.0106032
         299       -0.04    0.018194   0.0105695
         300       -0.24   0.0173333   0.0105693
         301        -0.2   0.0166113   0.0105588
         302       -0.36   0.0153642   0.0105972
         303       -0.08   0.0150495   0.0105669
         304         0.2   0.0156579   0.0105497
         305        0.12       0.016   0.0105206
         306       -0.16   0.0154248   0.0105019
         307       -0.12   0.0149837    0.010477
         308       -0.12   0.0145455   0.0104521
         309       -0.28   0.0135922   0.0104617
         310       -0.24   0.0127742   0.0104599
         311       -0.32   0.0117042   0.0104808
         312       -0.28   0.0107692   0.0104889
         313       -0.12   0.0103514   0.0104637
         314        -0.2  0.00968153   0.0104518
         315       -0.08  0.00939683   0.0104225
         316           0  0.00936709   0.0103895
         317       -0.28  0.00845426   0.0103968
         318        -0.4  0.00716981   0.0104431
         319       -0.36  0.00601881   0.0104736
         320       -0.32       0.005   0.0104903
         321       -0.44  0.00361371   0.0105488
         322       -0.48   0.0021118   0.0106225
         323       -0.36 0.000990712   0.0106486
         324       -0.52-0.000617284   0.0107364
         325        -0.6 -0.00246154   0.0108606
         326        -0.6 -0.00429448   0.0109809
         327       -0.56 -0.00599388    0.011078
         328        -0.4 -0.00719512   0.0111092
         329       -0.28 -0.00802432   0.0111063
         330       -0.08 -0.00824242   0.0110748
         331           0 -0.00821752   0.0110414
         332       -0.04 -0.00831325   0.0110086
         333       -0.12 -0.00864865   0.0109806
         334       -0.12 -0.00898204   0.0109528
         335       -0.16 -0.00943284   0.0109294
         336       -0.08 -0.00964286   0.0108989
         337           0 -0.00961424   0.0108666
         338           0  -0.0095858   0.0108344
         339        0.16 -0.00908555    0.010814
