#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         274     1.03918   0.0174181    0.142866
         275     1.04026   0.0211375    0.142395
         276     1.04127   0.0248337    0.141927
         277     1.04314   0.0285098    0.141462
         278     1.04516   0.0321669    0.141001
         279     1.04756   0.0358063    0.140542
         280     1.04987   0.0394279    0.140087
         281     1.05088   0.0430274    0.139635
         282     1.05277    0.046608    0.139185
         283     1.05458   0.0501698    0.138739
         284     1.05705   0.0537151    0.138296
         285     1.06043   0.0572474    0.137856
         286     1.06376   0.0607667    0.137419
         287     1.06707    0.064273    0.136985
         288     1.07109   0.0677689    0.136554
         289     1.07464   0.0712528    0.136126
         290     1.07821   0.0747251      0.1357
         291     1.08208   0.0781868    0.135278
         292     1.08625   0.0816391    0.134859
         293      1.0917   0.0850864    0.134443
         294      1.0963   0.0885259     0.13403
         295     1.10196   0.0919613    0.133619
         296     1.10776   0.0953931    0.133212
         297     1.11467    0.098825    0.132808
         298     1.12148    0.102257    0.132406
         299     1.12771    0.105686    0.132008
         300     1.13507    0.109118    0.131612
         301     1.14379    0.112555     0.13122
         302     1.15314    0.116001    0.130831
         303      1.1619    0.119452    0.130444
         304     1.17007    0.122908    0.130061
         305     1.17955    0.126373    0.129681
         306     1.18936    0.129847    0.129304
         307     1.19876    0.133328    0.128929
         308      1.2094    0.136822    0.128558
         309     1.21909    0.140325     0.12819
         310     1.22973    0.143839    0.127824
         311     1.24081    0.147366    0.127462
         312     1.25231    0.150908    0.127103
         313     1.26298    0.154461    0.126746
         314     1.27522     0.15803    0.126393
         315     1.28708    0.161614    0.126042
         316     1.29902    0.165214    0.125695
         317     1.31031    0.168826     0.12535
         318     1.32189    0.172452    0.125008
         319     1.33375    0.176092     0.12467
         320     1.34614    0.179749    0.124334
         321     1.35785    0.183419       0.124
         322     1.36888      0.1871     0.12367
         323     1.38043    0.190795    0.123342
         324     1.39204    0.194502    0.123017
         325     1.40418    0.198224    0.122695
         326     1.41615     0.20196    0.122376
         327     1.42866    0.205712    0.122059
         328     1.44004    0.209475    0.121745
         329     1.45268    0.213254    0.121433
         330     1.46418    0.217044    0.121124
         331     1.47693    0.220851    0.120818
         332     1.48876     0.22467    0.120515
         333     1.50132    0.228504    0.120214
         334      1.5129    0.232349    0.119915
         335     1.52564     0.23621    0.119619
         336     1.53804    0.240084    0.119326
         337     1.55054    0.243973    0.119035
         338     1.56237    0.247873    0.118747
         339     1.57515    0.251789    0.118461
         340     1.58665    0.255715    0.118178
         341     1.59777     0.25965    0.117897
         342     1.60916    0.263596    0.117618
         343     1.61858    0.267547    0.117342
         344     1.62791    0.271501    0.117067
         345     1.63658    0.275458    0.116795
         346     1.64381    0.279413    0.116524
         347     1.65073    0.283365    0.116255
         348     1.65706    0.287312    0.115988
         349     1.66346    0.291255    0.115723
         350     1.66772    0.295188    0.115459
         351     1.67196     0.29911    0.115197
         352     1.67398    0.303016    0.114936
