#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         309     1.35174     1.44702   0.0101235
         310     1.33817     1.44667   0.0100969
         311     1.30226      1.4462   0.0100751
         312     1.30926     1.44576   0.0100524
         313     1.28887     1.44526   0.0100328
         314     1.29738     1.44479   0.0100119
         315     1.31475     1.44438   0.0099886
         316     1.31408     1.44397   0.0099655
         317     1.31951     1.44357  0.00994179
         318     1.30248     1.44313  0.00992043
         319     1.28563     1.44264  0.00990161
         320     1.28915     1.44216  0.00988228
         321     1.28388     1.44166  0.00986378
         322      1.2966     1.44121  0.00984343
         323     1.29751     1.44077  0.00982301
         324     1.27553     1.44026  0.00980592
         325     1.27028     1.43974  0.00978968
         326     1.28331     1.43926  0.00977141
         327     1.27288     1.43875  0.00975476
         328     1.26842     1.43823  0.00973884
         329      1.2802     1.43775  0.00972107
         330      1.2964     1.43732  0.00970105
         331     1.29408     1.43689  0.00968139
         332     1.29354     1.43645  0.00966185
         333     1.30259     1.43605  0.00964119
         334     1.30503     1.43566  0.00962031
         335     1.28649     1.43522  0.00960189
         336     1.31667     1.43486  0.00957979
         337     1.30382     1.43447  0.00955925
         338     1.30693      1.4341  0.00953841
         339     1.31828     1.43375  0.00951639
         340     1.31659     1.43341  0.00949464
         341     1.33393     1.43312  0.00947128
         342     1.32726     1.43281  0.00944864
         343     1.33868     1.43253  0.00942508
         344     1.34941     1.43229  0.00940078
         345     1.36192     1.43209  0.00937574
         346     1.37321     1.43192  0.00935019
         347     1.33346     1.43163  0.00932755
         348     1.36907     1.43145  0.00930248
         349     1.33971     1.43119  0.00927953
         350     1.32123     1.43088  0.00925834
         351     1.31026     1.43053  0.00923834
         352     1.29415     1.43015  0.00922021
         353     1.29626     1.42977  0.00920189
         354     1.29863      1.4294  0.00918335
         355     1.29048     1.42901  0.00916582
         356     1.31033     1.42867  0.00914613
         357     1.29664      1.4283  0.00912798
         358     1.31361     1.42798  0.00910811
         359      1.3348     1.42772  0.00908643
         360     1.32529     1.42744  0.00906565
         361     1.31331     1.42712  0.00904605
         362     1.32713     1.42685  0.00902527
         363     1.33461     1.42659  0.00900399
         364     1.31411     1.42628  0.00898455
         365     1.34226     1.42605  0.00896288
         366     1.33754     1.42581  0.00894166
         367     1.34401     1.42559  0.00892007
         368     1.35155     1.42539   0.0088981
         369      1.3659     1.42523  0.00887545
         370     1.34638     1.42501  0.00885402
         371     1.34916     1.42481  0.00883251
         372       1.345     1.42459  0.00881137
         373     1.32219     1.42432  0.00879203
         374     1.34547     1.42411  0.00877104
         375      1.3224     1.42384  0.00875185
         376     1.33594      1.4236  0.00873169
         377     1.32501     1.42334  0.00871245
         378     1.32945     1.42309  0.00869294
         379     1.31893     1.42282  0.00867435
         380     1.31661     1.42254  0.00865602
         381     1.29963     1.42222  0.00863931
         382     1.29641     1.42189  0.00862297
         383     1.30559     1.42158   0.0086058
         384     1.30899     1.42129  0.00858838
         385     1.31458     1.42101  0.00857055
         386     1.32522     1.42076  0.00855193
