#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         450     1.96482     2.04852  0.00861038
         451     2.00011     2.04841  0.00859196
         452     2.02187     2.04836  0.00857315
         453     2.05625     2.04837  0.00855425
         454     2.07997     2.04844  0.00853569
         455     2.05603     2.04846  0.00851694
         456     2.03453     2.04843  0.00849832
         457      2.0197     2.04837  0.00847996
         458     2.05726     2.04839  0.00846146
         459     2.06457     2.04842   0.0084431
         460     2.07088     2.04847  0.00842489
         461     2.08601     2.04855  0.00840701
         462     2.07174      2.0486  0.00838896
         463     2.06314     2.04863   0.0083709
         464     2.03023     2.04859  0.00835295
         465     2.01135     2.04851  0.00833538
         466     2.02025     2.04845  0.00831771
         467     2.02577      2.0484  0.00830004
         468     2.03555     2.04838  0.00828235
         469     2.02718     2.04833  0.00826481
         470     2.05261     2.04834  0.00824723
         471     2.05534     2.04835  0.00822974
         472     2.04398     2.04835  0.00821231
         473     2.04912     2.04835  0.00819494
         474     2.04558     2.04834  0.00817766
         475      2.0603     2.04837  0.00816048
         476     2.04099     2.04835  0.00814335
         477     2.06951      2.0484   0.0081264
         478      2.0978      2.0485  0.00811006
         479     2.05251     2.04851  0.00809313
         480     2.03371     2.04848  0.00807633
         481     1.98876     2.04835  0.00806049
         482     1.98819     2.04823  0.00804473
         483     2.00976     2.04815  0.00802847
         484     2.03529     2.04812  0.00801193
         485     2.06296     2.04815  0.00799547
         486      2.0516     2.04816  0.00797902
         487     2.03411     2.04813  0.00796269
         488     2.00758     2.04805   0.0079468
         489     2.00812     2.04797  0.00793097
         490     2.01912     2.04791  0.00791501
         491     2.02888     2.04787  0.00789898
         492     2.06149      2.0479  0.00788297
         493     2.08383     2.04797  0.00786732
         494     2.06753     2.04801   0.0078515
         495     2.05448     2.04802  0.00783564
         496     2.01894     2.04796  0.00782007
         497     1.99507     2.04786  0.00780506
         498     1.97804     2.04772  0.00779064
         499     1.96945     2.04756  0.00777661
         500     1.99339     2.04745  0.00776181
