#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         275      1.5963     1.59621 6.01963e-05
         276     1.59657     1.59621 5.99923e-05
         277     1.59579     1.59621 5.97947e-05
         278     1.59626     1.59621 5.95799e-05
         279     1.59723     1.59621 5.94782e-05
         280     1.59663     1.59622 5.92841e-05
         281     1.59662     1.59622 5.90905e-05
         282     1.59673     1.59622 5.89092e-05
         283     1.59642     1.59622 5.87053e-05
         284     1.59693     1.59622  5.8552e-05
         285      1.5959     1.59622 5.83577e-05
         286     1.59623     1.59622 5.81537e-05
         287     1.59667     1.59622 5.79719e-05
         288     1.59668     1.59622  5.7792e-05
         289     1.59639     1.59622  5.7595e-05
         290     1.59692     1.59623 5.74469e-05
         291     1.59624     1.59623 5.72496e-05
         292     1.59629     1.59623 5.70539e-05
         293     1.59641     1.59623 5.68625e-05
         294     1.59645     1.59623 5.66739e-05
         295     1.59675     1.59623 5.65096e-05
         296     1.59668     1.59623 5.63392e-05
         297     1.59633     1.59623 5.61506e-05
         298     1.59579     1.59623 5.59815e-05
         299     1.59636     1.59623 5.57959e-05
         300     1.59637     1.59623 5.56119e-05
         301     1.59656     1.59623 5.54379e-05
         302      1.5962     1.59623 5.52545e-05
         303     1.59635     1.59623 5.50736e-05
         304     1.59652     1.59623 5.49003e-05
         305     1.59705     1.59624 5.47849e-05
         306     1.59694     1.59624 5.46536e-05
         307     1.59657     1.59624 5.44862e-05
         308     1.59655     1.59624 5.43188e-05
         309     1.59679     1.59624 5.41719e-05
         310     1.59613     1.59624 5.39984e-05
         311      1.5965     1.59624 5.38312e-05
         312     1.59634     1.59624 5.36595e-05
         313      1.5961     1.59624 5.34901e-05
         314     1.59718     1.59625 5.34031e-05
         315     1.59664     1.59625 5.32482e-05
         316     1.59666     1.59625 5.30955e-05
         317     1.59705     1.59625 5.29883e-05
         318     1.59694     1.59625 5.28659e-05
         319     1.59602     1.59625 5.27051e-05
         320     1.59608     1.59625 5.25431e-05
         321     1.59606     1.59625  5.2383e-05
         322      1.5969     1.59625 5.22592e-05
         323     1.59683     1.59626 5.21275e-05
         324     1.59671     1.59626 5.19854e-05
         325     1.59679     1.59626 5.18517e-05
         326      1.5974     1.59626 5.18117e-05
         327     1.59536     1.59626  5.1726e-05
         328     1.59663     1.59626 5.15807e-05
         329     1.59599     1.59626 5.14304e-05
         330     1.59636     1.59626 5.12754e-05
         331     1.59654     1.59626 5.11275e-05
         332     1.59677     1.59626 5.09963e-05
         333     1.59669     1.59626 5.08592e-05
         334      1.5954     1.59626  5.0772e-05
         335     1.59587     1.59626 5.06337e-05
         336     1.59655     1.59626 5.04904e-05
         337     1.59645     1.59626 5.03436e-05
         338     1.59668     1.59626 5.02097e-05
         339     1.59655     1.59626 5.00689e-05
         340     1.59651     1.59626 4.99268e-05
         341     1.59663     1.59627 4.97916e-05
         342     1.59607     1.59626 4.96494e-05
         343     1.59638     1.59626 4.95059e-05
         344     1.59648     1.59627  4.9366e-05
         345     1.59642     1.59627  4.9225e-05
         346     1.59685     1.59627 4.91118e-05
