# SA_step Temperature Mu Sigma
0 1 2 1.5
404 0.131985 0.763054 0.665298
405 0.131325 0.763054 0.665298
406 0.130668 0.736161 0.577813
407 0.130015 0.736161 0.577813
408 0.129365 0.684463 0.577475
409 0.128718 0.684463 0.577475
410 0.128075 0.753156 0.582914
411 0.127434 0.675061 0.663273
412 0.126797 0.689507 0.753408
413 0.126163 0.689507 0.753408
414 0.125532 0.701292 0.777967
415 0.124905 0.760472 0.775861
416 0.12428 0.760472 0.775861
417 0.123659 0.821612 0.704099
418 0.12304 0.821612 0.704099
419 0.122425 0.821612 0.704099
420 0.121813 0.734633 0.794198
421 0.121204 0.808633 0.818193
422 0.120598 0.808633 0.818193
423 0.119995 0.754779 0.766768
424 0.119395 0.671458 0.715462
425 0.118798 0.753805 0.795941
426 0.118204 0.766674 0.733452
427 0.117613 0.73061 0.773507
428 0.117025 0.73061 0.773507
429 0.11644 0.73061 0.773507
430 0.115858 0.701471 0.813635
431 0.115278 0.777842 0.723853
432 0.114702 0.766849 0.629025
433 0.114128 0.794058 0.5575
434 0.113558 0.794058 0.5575
435 0.11299 0.717558 0.601291
436 0.112425 0.743544 0.566263
437 0.111863 0.843166 0.564478
438 0.111304 0.941079 0.56995
439 0.110747 0.980767 0.589886
440 0.110193 0.978792 0.671513
441 0.109642 0.978792 0.671513
442 0.109094 0.978792 0.671513
443 0.108549 0.987919 0.644284
444 0.108006 0.888892 0.70865
445 0.107466 0.94493 0.694842
446 0.106929 0.873395 0.662792
447 0.106394 0.956001 0.622789
448 0.105862 0.919384 0.672768
449 0.105333 0.843733 0.754093
450 0.104806 0.928662 0.738932
451 0.104282 0.899193 0.649439
452 0.103761 0.868111 0.652927
453 0.103242 0.868111 0.652927
454 0.102726 0.781303 0.674007
455 0.102212 0.804269 0.595563
456 0.101701 0.804269 0.595563
457 0.101192 0.804269 0.595563
458 0.100686 0.761636 0.544096
459 0.100183 0.851192 0.534194
460 0.0996821 0.94017 0.502539
461 0.0991837 0.94017 0.502539
462 0.0986878 0.928673 0.508352
463 0.0981943 0.928673 0.508352
464 0.0977034 0.928673 0.508352
465 0.0972148 0.958827 0.597244
466 0.0967288 0.866148 0.672055
467 0.0962451 0.836564 0.690331
468 0.0957639 0.737659 0.66042
469 0.0952851 0.828961 0.623949
470 0.0948086 0.828961 0.623949
471 0.0943346 0.810319 0.672414
472 0.0938629 0.810319 0.672414
473 0.0933936 0.776654 0.770944
474 0.0929266 0.714334 0.847148
475 0.092462 0.655934 0.78325
476 0.0919997 0.619827 0.879265
477 0.0915397 0.6228 0.794542
478 0.091082 0.672345 0.828376
479 0.0906266 0.672337 0.860764
480 0.0901735 0.769779 0.782221
481 0.0897226 0.720049 0.810157
482 0.089274 0.782776 0.716083
483 0.0888276 0.782776 0.716083
484 0.0883835 0.686128 0.619393
