# SA_step Temperature Energy Energy_error
323 0.198087 0.0941439 0.00488469
324 0.197096 0.0266905 0.00634665
325 0.196111 -0.196663 0.00224776
326 0.19513 -0.196663 0.00224776
327 0.194154 -0.0643587 0.00228014
328 0.193184 -0.0869535 0.00297674
329 0.192218 -0.138693 0.00238757
330 0.191257 -0.0425059 0.00440621
331 0.1903 -0.187498 0.00222335
332 0.189349 -0.252307 0.00253354
333 0.188402 -0.252307 0.00253354
334 0.18746 -0.268422 0.00128603
335 0.186523 -0.266537 0.0017182
336 0.18559 -0.424881 0.00121441
337 0.184662 -0.325339 0.00142234
338 0.183739 0.0965911 0.00324226
339 0.18282 0.0569935 0.00385577
340 0.181906 0.0569935 0.00385577
341 0.180997 0.0573518 0.00328538
342 0.180092 0.0573518 0.00328538
343 0.179191 -0.128915 0.00141017
344 0.178295 -0.128915 0.00141017
345 0.177404 0.18521 0.00298245
346 0.176517 0.18521 0.00298245
347 0.175634 0.0874272 0.00263195
348 0.174756 -0.068958 0.00198973
349 0.173882 -0.0479228 0.00211666
350 0.173013 -0.334953 0.00153634
351 0.172148 -0.410811 0.00149878
352 0.171287 -0.332035 0.00149018
353 0.170431 -0.418116 0.00120697
354 0.169578 -0.361022 0.00296285
355 0.168731 -0.333671 0.00133816
356 0.167887 -0.333671 0.00133816
357 0.167047 -0.304335 0.00158418
358 0.166212 -0.304335 0.00158418
359 0.165381 -0.375345 0.00148491
360 0.164554 -0.375345 0.00148491
361 0.163731 -0.390566 0.00123914
362 0.162913 -0.390566 0.00123914
363 0.162098 -0.416857 0.00131147
364 0.161288 -0.431207 0.000919222
365 0.160481 -0.420468 0.00148466
366 0.159679 -0.405739 0.00180919
367 0.158881 -0.405739 0.00180919
368 0.158086 -0.428612 0.00116939
369 0.157296 -0.423816 0.00118154
370 0.156509 -0.386909 0.00188031
371 0.155727 -0.393785 0.00209422
372 0.154948 -0.367164 0.00289323
373 0.154173 -0.367164 0.00289323
374 0.153402 -0.440739 0.000941592
375 0.152635 -0.440739 0.000941592
376 0.151872 -0.402952 0.00138997
377 0.151113 -0.4011 0.00182281
378 0.150357 -0.4011 0.00182281
379 0.149606 -0.38945 0.00185606
380 0.148857 -0.437684 0.00086607
381 0.148113 -0.373231 0.00128542
382 0.147373 -0.373231 0.00128542
383 0.146636 -0.302296 0.00144945
384 0.145903 -0.386072 0.00124497
385 0.145173 -0.329474 0.00116983
386 0.144447 -0.22898 0.0015469
387 0.143725 -0.333522 0.00127422
388 0.143006 -0.404804 0.00113528
389 0.142291 -0.404804 0.00113528
390 0.14158 -0.404804 0.00113528
391 0.140872 -0.404804 0.00113528
392 0.140168 -0.352427 0.00142115
393 0.139467 -0.381855 0.0012303
394 0.138769 -0.399635 0.000852272
395 0.138076 -0.408646 0.000916629
396 0.137385 -0.391589 0.000833349
397 0.136698 -0.423346 0.000982937
398 0.136015 -0.375866 0.00168223
399 0.135335 -0.356947 0.00159911
400 0.134658 -0.356889 0.00200011
401 0.133985 -0.389511 0.00150298
402 0.133315 -0.427663 0.000880482
403 0.132648 -0.429912 0.00131737
404 0.131985 -0.426677 0.00107957
405 0.131325 -0.426677 0.00107957
406 0.130668 -0.417095 0.00102763
407 0.130015 -0.417095 0.00102763
408 0.129365 -0.385236 0.000833162
409 0.128718 -0.385236 0.000833162
410 0.128075 -0.427614 0.00101364
411 0.127434 -0.388401 0.00118369
412 0.126797 -0.354252 0.0019583
413 0.126163 -0.354252 0.0019583
414 0.125532 -0.342957 0.00246498
415 0.124905 -0.332841 0.00283577
416 0.12428 -0.332841 0.00283577
417 0.123659 -0.392908 0.00177012
418 0.12304 -0.392908 0.00177012
419 0.122425 -0.392908 0.00177012
420 0.121813 -0.320831 0.00271265
421 0.121204 -0.246219 0.00366431
422 0.120598 -0.246219 0.00366431
423 0.119995 -0.345974 0.00315861
424 0.119395 -0.372628 0.00143301
425 0.118798 -0.309877 0.0032838
426 0.118204 -0.375653 0.00210595
427 0.117613 -0.336012 0.00245205
428 0.117025 -0.336012 0.00245205
429 0.11644 -0.336012 0.00245205
430 0.115858 -0.310962 0.00276977
431 0.115278 -0.384541 0.00228927
432 0.114702 -0.439883 0.000968861
433 0.114128 -0.414574 0.00148667
434 0.113558 -0.414574 0.00148667
435 0.11299 -0.41966 0.000807858
436 0.112425 -0.412587 0.0012757
437 0.111863 -0.412392 0.00108193
438 0.111304 -0.344953 0.00125965
439 0.110747 -0.311244 0.00146024
440 0.110193 -0.269666 0.00289263
441 0.109642 -0.269666 0.00289263
442 0.109094 -0.269666 0.00289263
443 0.108549 -0.282404 0.00290229
444 0.108006 -0.34066 0.00261679
445 0.107466 -0.296404 0.00271108
446 0.106929 -0.404666 0.00192624
447 0.106394 -0.342027 0.00122483
448 0.105862 -0.354 0.0027971
449 0.105333 -0.323704 0.00303804
450 0.104806 -0.247153 0.00320854
451 0.104282 -0.394133 0.00171139
452 0.103761 -0.412769 0.00146585
453 0.103242 -0.412769 0.00146585
454 0.102726 -0.424811 0.00139765
455 0.102212 -0.441691 0.000862118
456 0.101701 -0.441691 0.000862118
457 0.101192 -0.441691 0.000862118
458 0.100686 -0.392402 0.00144554
459 0.100183 -0.359396 0.0018032
460 0.0996821 -0.21557 0.00193845
461 0.0991837 -0.21557 0.00193845
462 0.0986878 -0.244403 0.00171385
463 0.0981943 -0.244403 0.00171385
464 0.0977034 -0.244403 0.00171385
465 0.0972148 -0.340741 0.00151142
466 0.0967288 -0.400971 0.0018655
467 0.0962451 -0.396535 0.00208134
468 0.0957639 -0.421099 0.00110081
469 0.0952851 -0.44251 0.00106093
470 0.0948086 -0.44251 0.00106093
471 0.0943346 -0.424621 0.00117338
472 0.0938629 -0.424621 0.00117338
473 0.0933936 -0.334638 0.00292352
474 0.0929266 -0.267739 0.00440821
475 0.092462 -0.327261 0.00215867
476 0.0919997 -0.269064 0.0031743
477 0.0915397 -0.320628 0.00211524
478 0.091082 -0.302855 0.00257265
479 0.0906266 -0.268984 0.00368747
480 0.0901735 -0.319611 0.00393377
481 0.0897226 -0.306187 0.0034448
482 0.089274 -0.39318 0.00204786
483 0.0888276 -0.39318 0.00204786
484 0.0883835 -0.398983 0.000858732
485 0.0879416 -0.398983 0.000858732
486 0.0875019 -0.406925 0.0015307
487 0.0870643 -0.383302 0.00102371
488 0.086629 -0.421217 0.000772983
489 0.0861959 -0.442604 0.000994917
490 0.0857649 -0.442604 0.000994917
491 0.0853361 -0.373639 0.00175549
492 0.0849094 -0.382053 0.00139198
493 0.0844848 -0.382053 0.00139198
494 0.0840624 -0.412393 0.0011188
495 0.0836421 -0.438267 0.0011063
496 0.0832239 -0.427722 0.00119059
497 0.0828078 -0.389855 0.00117491
498 0.0823937 -0.432991 0.00067762
499 0.0819818 -0.35509 0.0019173
500 0.0815719 -0.356319 0.00170084
501 0.081164 -0.420667 0.000991706
502 0.0807582 -0.420667 0.000991706
503 0.0803544 -0.420667 0.000991706
504 0.0799526 -0.412022 0.00134376
505 0.0795529 -0.326172 0.00218975
506 0.0791551 -0.410716 0.0012172
507 0.0787593 -0.438258 0.00109443
508 0.0783655 -0.43797 0.00131819
509 0.0779737 -0.403892 0.00125697
510 0.0775838 -0.403892 0.00125697
511 0.0771959 -0.403892 0.00125697
512 0.0768099 -0.414124 0.000959454
513 0.0764259 -0.414124 0.000959454
514 0.0760437 -0.346167 0.00222903
515 0.0756635 -0.28142 0.00261518
516 0.0752852 -0.257999 0.00287719
517 0.0749088 -0.342137 0.00257177
518 0.0745342 -0.356269 0.00250242
519 0.0741616 -0.375153 0.00202336
520 0.0737908 -0.375153 0.00202336
521 0.0734218 -0.375153 0.00202336
522 0.0730547 -0.411738 0.000993828
523 0.0726894 -0.43654 0.000931705
524 0.072326 -0.43654 0.000931705
525 0.0719643 -0.377078 0.00169379
526 0.0716045 -0.377078 0.00169379
527 0.0712465 -0.400852 0.00133471
528 0.0708903 -0.420042 0.00109707
529 0.0705358 -0.420042 0.00109707
530 0.0701831 -0.421016 0.0011581
531 0.0698322 -0.421016 0.0011581
532 0.0694831 -0.437517 0.00104112
533 0.0691356 -0.437517 0.00104112
534 0.06879 -0.437517 0.00104112
535 0.068446 -0.417619 0.00139501
536 0.0681038 -0.421734 0.00120211
537 0.0677633 -0.40367 0.00146886
538 0.0674245 -0.388829 0.00188805
539 0.0670873 -0.393808 0.00179745
540 0.0667519 -0.393808 0.00179745
541 0.0664181 -0.393808 0.00179745
542 0.066086 -0.393808 0.00179745
543 0.0657556 -0.393808 0.00179745
544 0.0654268 -0.393808 0.00179745
545 0.0650997 -0.393808 0.00179745
546 0.0647742 -0.393808 0.00179745
547 0.0644503 -0.442375 0.000988336
548 0.0641281 -0.442375 0.000988336
549 0.0638074 -0.413094 0.00149959
550 0.0634884 -0.295642 0.00360084
551 0.063171 -0.341539 0.00247195
552 0.0628551 -0.341576 0.00226146
553 0.0625408 -0.341576 0.00226146
554 0.0622281 -0.273732 0.0028391
555 0.061917 -0.273732 0.0028391
556 0.0616074 -0.292928 0.00260987
557 0.0612994 -0.292705 0.0037768
558 0.0609929 -0.292705 0.0037768
559 0.0606879 -0.292705 0.0037768
560 0.0603845 -0.350341 0.00263399
561 0.0600825 -0.336392 0.00200104
562 0.0597821 -0.303188 0.00262793
563 0.0594832 -0.305697 0.00143927
564 0.0591858 -0.310571 0.00222144
565 0.0588899 -0.269829 0.0025452
566 0.0585954 -0.294101 0.00252193
567 0.0583024 -0.279853 0.00254059
568 0.0580109 -0.278837 0.00172869
569 0.0577209 -0.322105 0.00109801
570 0.0574323 -0.322105 0.00109801
