=========================================
       TSP SIMULATION SUMMARY            
=========================================
Number of Cities:    110
Population Size:     700
Total Generations:   3000
Map Shape:           Italy
Number of Continents:7
Migration Interval:  10
=========================================

Generation | Best Fitness
Generation 340 | Best Fitness: 68.1431
Generation 341 | Best Fitness: 68.1431
Generation 342 | Best Fitness: 68.1431
Generation 343 | Best Fitness: 68.1431
Generation 344 | Best Fitness: 68.1431
Generation 345 | Best Fitness: 68.1431
Generation 346 | Best Fitness: 68.1431
Generation 347 | Best Fitness: 68.1431
Generation 348 | Best Fitness: 68.1431
Generation 349 | Best Fitness: 68.1431
Generation 350 | Best Fitness: 68.1431
Generation 351 | Best Fitness: 68.1431
Generation 352 | Best Fitness: 68.1431
Generation 353 | Best Fitness: 68.1431
Generation 354 | Best Fitness: 68.1431
Generation 355 | Best Fitness: 68.1431
Generation 356 | Best Fitness: 67.8107
Generation 357 | Best Fitness: 67.8107
Generation 358 | Best Fitness: 67.8107
Generation 359 | Best Fitness: 67.8107
Generation 360 | Best Fitness: 67.8107
Generation 361 | Best Fitness: 67.8107
Generation 362 | Best Fitness: 67.8107
Generation 363 | Best Fitness: 67.8107
Generation 364 | Best Fitness: 67.8107
Generation 365 | Best Fitness: 67.8107
Generation 366 | Best Fitness: 67.8107
Generation 367 | Best Fitness: 67.8107
Generation 368 | Best Fitness: 67.8107
Generation 369 | Best Fitness: 67.8107
Generation 370 | Best Fitness: 67.8107
Generation 371 | Best Fitness: 67.8107
Generation 372 | Best Fitness: 67.8107
Generation 373 | Best Fitness: 67.8107
Generation 374 | Best Fitness: 67.8107
Generation 375 | Best Fitness: 67.8107
Generation 376 | Best Fitness: 67.8107
Generation 377 | Best Fitness: 67.8107
Generation 378 | Best Fitness: 67.8107
Generation 379 | Best Fitness: 67.8107
Generation 380 | Best Fitness: 67.8107
Generation 381 | Best Fitness: 67.8107
Generation 382 | Best Fitness: 67.8107
Generation 383 | Best Fitness: 67.8107
Generation 384 | Best Fitness: 67.8107
Generation 385 | Best Fitness: 67.8107
Generation 386 | Best Fitness: 67.8107
Generation 387 | Best Fitness: 67.8107
Generation 388 | Best Fitness: 67.8107
Generation 389 | Best Fitness: 67.8107
Generation 390 | Best Fitness: 67.8107
Generation 391 | Best Fitness: 67.8107
Generation 392 | Best Fitness: 67.8107
Generation 393 | Best Fitness: 67.8107
Generation 394 | Best Fitness: 67.8107
Generation 395 | Best Fitness: 67.8107
Generation 396 | Best Fitness: 67.8107
Generation 397 | Best Fitness: 67.8107
Generation 398 | Best Fitness: 67.8107
Generation 399 | Best Fitness: 67.8107
Generation 400 | Best Fitness: 67.8107
Generation 401 | Best Fitness: 67.8107
Generation 402 | Best Fitness: 67.8107
Generation 403 | Best Fitness: 67.8107
Generation 404 | Best Fitness: 67.8107
Generation 405 | Best Fitness: 67.8107
Generation 406 | Best Fitness: 67.8107
Generation 407 | Best Fitness: 67.8107
Generation 408 | Best Fitness: 67.8107
Generation 409 | Best Fitness: 67.8107
Generation 410 | Best Fitness: 67.8107
Generation 411 | Best Fitness: 67.8107
Generation 412 | Best Fitness: 67.6839
Generation 413 | Best Fitness: 67.6839
Generation 414 | Best Fitness: 67.6839
Generation 415 | Best Fitness: 67.6839
Generation 416 | Best Fitness: 67.6839
Generation 417 | Best Fitness: 67.6839
Generation 418 | Best Fitness: 67.6839
Generation 419 | Best Fitness: 67.6839
Generation 420 | Best Fitness: 67.6839
Generation 421 | Best Fitness: 67.6839
Generation 422 | Best Fitness: 67.6839
Generation 423 | Best Fitness: 67.6839
Generation 424 | Best Fitness: 67.6839
Generation 425 | Best Fitness: 67.6839
Generation 426 | Best Fitness: 67.6839
Generation 427 | Best Fitness: 67.6839
Generation 428 | Best Fitness: 67.6839
Generation 429 | Best Fitness: 67.6839
Generation 430 | Best Fitness: 67.6839
Generation 431 | Best Fitness: 67.6839
Generation 432 | Best Fitness: 67.6839
Generation 433 | Best Fitness: 67.6839
Generation 434 | Best Fitness: 67.6839
Generation 435 | Best Fitness: 67.6839
Generation 436 | Best Fitness: 67.6839
Generation 437 | Best Fitness: 67.6839
Generation 438 | Best Fitness: 67.6839
Generation 439 | Best Fitness: 67.6839
Generation 440 | Best Fitness: 67.6839
Generation 441 | Best Fitness: 67.665
Generation 442 | Best Fitness: 67.3515
Generation 443 | Best Fitness: 67.3515
Generation 444 | Best Fitness: 67.3515
Generation 445 | Best Fitness: 67.3515
Generation 446 | Best Fitness: 67.3515
Generation 447 | Best Fitness: 67.3515
Generation 448 | Best Fitness: 67.3515
Generation 449 | Best Fitness: 67.3515
Generation 450 | Best Fitness: 67.3515
Generation 451 | Best Fitness: 67.3515
Generation 452 | Best Fitness: 67.3515
Generation 453 | Best Fitness: 67.3515
Generation 454 | Best Fitness: 67.3515
Generation 455 | Best Fitness: 67.3515
Generation 456 | Best Fitness: 67.3515
Generation 457 | Best Fitness: 67.3515
Generation 458 | Best Fitness: 67.3515
Generation 459 | Best Fitness: 67.3515
Generation 460 | Best Fitness: 67.3515
Generation 461 | Best Fitness: 67.3515
Generation 462 | Best Fitness: 67.3515
Generation 463 | Best Fitness: 67.3515
Generation 464 | Best Fitness: 67.3515
Generation 465 | Best Fitness: 67.3515
Generation 466 | Best Fitness: 67.3515
Generation 467 | Best Fitness: 67.3515
Generation 468 | Best Fitness: 67.3515
Generation 469 | Best Fitness: 67.3515
Generation 470 | Best Fitness: 67.3515
Generation 471 | Best Fitness: 67.3515
Generation 472 | Best Fitness: 67.3515
Generation 473 | Best Fitness: 67.3515
Generation 474 | Best Fitness: 67.3515
Generation 475 | Best Fitness: 67.3515
Generation 476 | Best Fitness: 67.3515
Generation 477 | Best Fitness: 67.3515
Generation 478 | Best Fitness: 67.3515
Generation 479 | Best Fitness: 67.3515
Generation 480 | Best Fitness: 67.3515
Generation 481 | Best Fitness: 67.3515
Generation 482 | Best Fitness: 67.3515
Generation 483 | Best Fitness: 67.3515
Generation 484 | Best Fitness: 67.3515
Generation 485 | Best Fitness: 67.3515
Generation 486 | Best Fitness: 67.3515
Generation 487 | Best Fitness: 67.3515
Generation 488 | Best Fitness: 67.3515
Generation 489 | Best Fitness: 67.3515
Generation 490 | Best Fitness: 67.3515
Generation 491 | Best Fitness: 67.3515
Generation 492 | Best Fitness: 67.3515
Generation 493 | Best Fitness: 67.3515
Generation 494 | Best Fitness: 67.3515
Generation 495 | Best Fitness: 67.3515
Generation 496 | Best Fitness: 67.3515
Generation 497 | Best Fitness: 67.3515
Generation 498 | Best Fitness: 67.3515
Generation 499 | Best Fitness: 67.3515
Generation 500 | Best Fitness: 67.3515
Generation 501 | Best Fitness: 67.3515
Generation 502 | Best Fitness: 67.3515
Generation 503 | Best Fitness: 67.3515
Generation 504 | Best Fitness: 67.3515
Generation 505 | Best Fitness: 67.3515
Generation 506 | Best Fitness: 67.3515
Generation 507 | Best Fitness: 67.3488
Generation 508 | Best Fitness: 67.3488
Generation 509 | Best Fitness: 67.3488
Generation 510 | Best Fitness: 67.3488
Generation 511 | Best Fitness: 67.3488
Generation 512 | Best Fitness: 67.3488
Generation 513 | Best Fitness: 67.3488
Generation 514 | Best Fitness: 67.3488
Generation 515 | Best Fitness: 67.3488
Generation 516 | Best Fitness: 67.3488
Generation 517 | Best Fitness: 67.3488
Generation 518 | Best Fitness: 67.3488
Generation 519 | Best Fitness: 67.3488
Generation 520 | Best Fitness: 67.3488
Generation 521 | Best Fitness: 67.3488
Generation 522 | Best Fitness: 67.3488
Generation 523 | Best Fitness: 67.3488
Generation 524 | Best Fitness: 67.3488
Generation 525 | Best Fitness: 67.3488
Generation 526 | Best Fitness: 67.3488
Generation 527 | Best Fitness: 67.3488
Generation 528 | Best Fitness: 67.3488
Generation 529 | Best Fitness: 67.3488
Generation 530 | Best Fitness: 67.3488
Generation 531 | Best Fitness: 67.3488
Generation 532 | Best Fitness: 67.3488
Generation 533 | Best Fitness: 67.3488
Generation 534 | Best Fitness: 67.3488
Generation 535 | Best Fitness: 67.3488
Generation 536 | Best Fitness: 67.3488
Generation 537 | Best Fitness: 67.3488
Generation 538 | Best Fitness: 67.3488
