#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         326     1.64782     1.89412   0.0245551
         327     1.64414     1.89335   0.0244919
         328     1.64044     1.89258   0.0244293
         329     1.63672     1.89181   0.0243675
         330     1.63298     1.89102   0.0243062
         331     1.62922     1.89023   0.0242457
         332     1.62545     1.88943   0.0241857
         333     1.62166     1.88863   0.0241265
         334     1.61788     1.88782   0.0240679
         335      1.6141       1.887   0.0240099
         336     1.61035     1.88618   0.0239525
         337     1.60663     1.88535   0.0238958
         338     1.60297     1.88451   0.0238397
         339     1.59939     1.88367   0.0237842
         340     1.59589     1.88283   0.0237293
         341     1.59252     1.88197    0.023675
         342     1.58928     1.88112   0.0236213
         343     1.58619     1.88026    0.023568
         344     1.58328      1.8794   0.0235153
         345     1.58058     1.87853   0.0234631
         346     1.57809     1.87766   0.0234114
         347     1.57584     1.87679     0.02336
         348     1.57384     1.87592   0.0233091
         349     1.57212     1.87505   0.0232586
         350     1.57068     1.87418   0.0232084
         351     1.56954     1.87331   0.0231585
         352      1.5687     1.87245   0.0231089
         353     1.56817     1.87159   0.0230595
         354     1.56794     1.87073   0.0230103
         355     1.56804     1.86987   0.0229613
         356     1.56844     1.86903   0.0229124
         357     1.56915     1.86819   0.0228636
         358     1.57017     1.86736   0.0228149
         359     1.57148     1.86653   0.0227662
         360     1.57307     1.86572   0.0227175
         361     1.57494     1.86491   0.0226689
         362     1.57706     1.86412   0.0226202
         363     1.57942     1.86333   0.0225715
         364     1.58202     1.86256   0.0225227
         365     1.58482      1.8618   0.0224738
         366     1.58781     1.86105   0.0224249
         367     1.59097     1.86031   0.0223759
         368     1.59427     1.85959   0.0223267
         369     1.59771     1.85888   0.0222775
         370     1.60125     1.85818   0.0222282
         371     1.60487      1.8575   0.0221788
         372     1.60856     1.85683   0.0221292
         373     1.61229     1.85618   0.0220796
         374     1.61605     1.85553   0.0220299
         375     1.61981     1.85491   0.0219801
         376     1.62357     1.85429   0.0219303
         377     1.62729     1.85369   0.0218804
         378     1.63098      1.8531   0.0218304
         379      1.6346     1.85252   0.0217804
         380     1.63816     1.85196   0.0217304
         381     1.64163     1.85141   0.0216804
         382     1.64501     1.85087   0.0216304
         383     1.64829     1.85034   0.0215804
         384     1.65146     1.84982   0.0215304
         385      1.6545     1.84931   0.0214804
         386     1.65742     1.84881   0.0214305
         387     1.66021     1.84833   0.0213807
         388     1.66286     1.84785   0.0213309
         389     1.66535     1.84738   0.0212813
         390      1.6677     1.84692   0.0212317
         391     1.66988     1.84647   0.0211822
         392     1.67189     1.84602   0.0211328
         393     1.67372     1.84558   0.0210836
         394     1.67536     1.84515   0.0210345
         395     1.67681     1.84472   0.0209856
         396     1.67804      1.8443   0.0209368
         397     1.67906     1.84389   0.0208882
         398     1.67985     1.84348   0.0208398
         399     1.68041     1.84307   0.0207916
         400     1.68071     1.84266   0.0207436
         401     1.68077     1.84226   0.0206958
         402     1.68056     1.84186   0.0206482
         403     1.68009     1.84145   0.0206009
         404     1.67934     1.84105   0.0205538
         405     1.67833     1.84065    0.020507
         406     1.67705     1.84025   0.0204604
         407     1.67551     1.83984   0.0204141
         408     1.67372     1.83944   0.0203682
         409     1.67171     1.83903   0.0203225
         410     1.66948     1.83861   0.0202771
         411     1.66706     1.83819   0.0202321
         412     1.66449     1.83777   0.0201874
         413     1.66179     1.83735    0.020143
         414       1.659     1.83692   0.0200989
         415     1.65616     1.83648   0.0200552
         416     1.65332     1.83604   0.0200119
         417     1.65051      1.8356   0.0199688
         418     1.64778     1.83515   0.0199261
         419     1.64515     1.83469   0.0198837
         420     1.64268     1.83424   0.0198416
         421     1.64039     1.83378   0.0197998
         422      1.6383     1.83331   0.0197583
         423     1.63644     1.83285   0.0197171
         424     1.63482     1.83238   0.0196761
         425     1.63344     1.83191   0.0196354
         426     1.63229     1.83144   0.0195949
         427     1.63137     1.83097   0.0195546
         428     1.63066     1.83051   0.0195145
         429     1.63013     1.83004   0.0194746
         430     1.62976     1.82957   0.0194349
         431     1.62951     1.82911   0.0193953
         432     1.62934     1.82865   0.0193559
         433     1.62922     1.82819   0.0193167
         434     1.62912     1.82773   0.0192777
         435     1.62899     1.82727   0.0192388
         436     1.62881     1.82682      0.0192
         437     1.62854     1.82636   0.0191614
         438     1.62817     1.82591    0.019123
         439     1.62768     1.82546   0.0190848
         440     1.62703     1.82501   0.0190468
         441     1.62624     1.82456   0.0190089
         442     1.62528     1.82411   0.0189712
         443     1.62417     1.82365   0.0189338
         444      1.6229      1.8232   0.0188965
         445     1.62148     1.82275   0.0188595
         446     1.61992     1.82229   0.0188227
         447     1.61822     1.82184   0.0187861
         448     1.61642     1.82138   0.0187498
         449     1.61451     1.82092   0.0187137
         450     1.61252     1.82045   0.0186778
         451     1.61047     1.81999   0.0186422
         452     1.60838     1.81952   0.0186069
         453     1.60626     1.81905   0.0185717
         454     1.60412     1.81858   0.0185369
         455     1.60199      1.8181   0.0185022
         456     1.59988     1.81762   0.0184678
         457      1.5978     1.81714   0.0184337
         458     1.59575     1.81666   0.0183998
         459     1.59376     1.81617   0.0183661
         460     1.59182     1.81568   0.0183327
         461     1.58995     1.81519   0.0182994
         462     1.58815      1.8147   0.0182664
         463     1.58644     1.81421   0.0182336
         464      1.5848     1.81372    0.018201
         465     1.58326     1.81322   0.0181686
         466     1.58182     1.81272   0.0181364
         467     1.58048     1.81223   0.0181044
         468     1.57925     1.81173   0.0180726
         469     1.57814     1.81123   0.0180409
         470     1.57717     1.81073   0.0180094
         471     1.57634     1.81023    0.017978
         472     1.57566     1.80974   0.0179468
         473     1.57515     1.80924   0.0179157
         474      1.5748     1.80875   0.0178847
         475     1.57464     1.80825   0.0178539
         476     1.57465     1.80776   0.0178231
         477     1.57486     1.80728   0.0177924
         478     1.57525     1.80679   0.0177618
         479     1.57581     1.80631   0.0177313
         480     1.57655     1.80583   0.0177008
         481     1.57745     1.80535   0.0176704
         482     1.57849     1.80488     0.01764
         483     1.57965     1.80442   0.0176096
         484     1.58091     1.80396   0.0175793
         485     1.58225      1.8035    0.017549
         486     1.58363     1.80305   0.0175187
         487     1.58502      1.8026   0.0174885
         488      1.5864     1.80216   0.0174582
         489     1.58773     1.80172    0.017428
         490     1.58899     1.80128   0.0173979
         491     1.59015     1.80085   0.0173678
         492     1.59117     1.80043   0.0173377
         493     1.59204         1.8   0.0173077
         494     1.59273     1.79958   0.0172777
         495     1.59323     1.79917   0.0172478
         496     1.59351     1.79875    0.017218
         497     1.59356     1.79834   0.0171884
         498     1.59338     1.79793   0.0171588
         499     1.59294     1.79752   0.0171293
         500     1.59225     1.79711      0.0171
         501      1.5913      1.7967   0.0170708
         502     1.59008     1.79628   0.0170417
         503      1.5886     1.79587   0.0170128
         504     1.58686     1.79546   0.0169841
         505     1.58485     1.79504   0.0169556
         506     1.58258     1.79462   0.0169273
         507     1.58007      1.7942   0.0168992
         508     1.57732     1.79377   0.0168713
         509     1.57435     1.79334   0.0168437
         510     1.57116      1.7929   0.0168163
         511     1.56778     1.79246   0.0167892
         512     1.56423     1.79202   0.0167623
         513     1.56052     1.79157   0.0167357
         514     1.55668     1.79111   0.0167094
         515     1.55273     1.79065   0.0166833
         516     1.54871     1.79018   0.0166576
         517     1.54463      1.7897   0.0166321
         518     1.54052     1.78922    0.016607
         519     1.53642     1.78873   0.0165821
         520     1.53233     1.78824   0.0165576
