#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         362    -5.38452    -5.67093   0.0225234
         363    -5.38697    -5.67015    0.022475
         364    -5.38962    -5.66938   0.0224264
         365      -5.392    -5.66862   0.0223779
         366    -5.39547    -5.66787   0.0223292
         367    -5.39908    -5.66714   0.0222803
         368    -5.40282    -5.66642   0.0222314
         369    -5.40605    -5.66572   0.0221823
         370    -5.40907    -5.66502   0.0221332
         371    -5.41276    -5.66434    0.022084
         372    -5.41635    -5.66367   0.0220347
         373    -5.42041    -5.66302   0.0219853
         374    -5.42372    -5.66238   0.0219358
         375    -5.42747    -5.66176   0.0218862
         376     -5.4309    -5.66114   0.0218366
         377    -5.43443    -5.66054    0.021787
         378     -5.4376    -5.65995   0.0217373
         379    -5.44116    -5.65937   0.0216876
         380    -5.44479    -5.65881   0.0216379
         381    -5.44862    -5.65826   0.0215882
         382     -5.4519    -5.65772   0.0215384
         383    -5.45476    -5.65719   0.0214887
         384    -5.45781    -5.65667    0.021439
         385    -5.46073    -5.65616   0.0213893
         386    -5.46307    -5.65566   0.0213398
         387    -5.46586    -5.65517   0.0212903
         388    -5.46836    -5.65469   0.0212408
         389     -5.4701    -5.65421   0.0211915
         390    -5.47198    -5.65375   0.0211424
         391    -5.47444    -5.65329   0.0210933
         392    -5.47643    -5.65284   0.0210443
         393    -5.47822    -5.65239   0.0209954
         394    -5.47982    -5.65195   0.0209467
         395    -5.48136    -5.65152   0.0208981
         396    -5.48253    -5.65109   0.0208497
         397    -5.48362    -5.65067   0.0208014
         398    -5.48372    -5.65025   0.0207534
         399    -5.48403    -5.64984   0.0207056
         400    -5.48363    -5.64942    0.020658
         401    -5.48373    -5.64901   0.0206106
         402    -5.48325     -5.6486   0.0205635
         403    -5.48236    -5.64818   0.0205166
         404    -5.48119    -5.64777   0.0204699
         405    -5.48006    -5.64736   0.0204236
         406    -5.47898    -5.64694   0.0203775
         407     -5.4775    -5.64652   0.0203317
         408    -5.47533    -5.64611   0.0202862
         409     -5.4728    -5.64568    0.020241
         410    -5.47053    -5.64525   0.0201961
         411    -5.46811    -5.64482   0.0201516
         412    -5.46525    -5.64439   0.0201074
         413    -5.46231    -5.64395   0.0200636
         414    -5.45947     -5.6435     0.02002
         415    -5.45647    -5.64305   0.0199769
         416    -5.45412     -5.6426    0.019934
         417    -5.45153    -5.64214   0.0198915
         418    -5.44906    -5.64168   0.0198492
         419    -5.44703    -5.64121   0.0198073
         420    -5.44489    -5.64074   0.0197657
         421    -5.44296    -5.64027   0.0197243
         422     -5.4414     -5.6398   0.0196832
         423    -5.43992    -5.63933   0.0196423
         424    -5.43869    -5.63886   0.0196017
         425     -5.4371    -5.63838   0.0195613
         426    -5.43648    -5.63791   0.0195211
         427    -5.43577    -5.63744   0.0194812
         428    -5.43525    -5.63696   0.0194414
         429    -5.43503    -5.63649   0.0194018
         430    -5.43462    -5.63602   0.0193623
         431    -5.43461    -5.63556    0.019323
         432    -5.43449    -5.63509   0.0192839
         433    -5.43454    -5.63463   0.0192449
         434    -5.43442    -5.63417   0.0192061
         435    -5.43439    -5.63371   0.0191675
         436    -5.43428    -5.63325   0.0191289
         437    -5.43375    -5.63279   0.0190906
         438    -5.43356    -5.63234   0.0190525
         439    -5.43307    -5.63188   0.0190145
         440    -5.43257    -5.63143   0.0189766
         441    -5.43087    -5.63098   0.0189391
         442     -5.4299    -5.63052   0.0189017
         443    -5.42848    -5.63006   0.0188645
         444    -5.42706    -5.62961   0.0188276
         445    -5.42565    -5.62915   0.0187908
         446     -5.4238    -5.62869   0.0187543
         447    -5.42184    -5.62823   0.0187181
         448    -5.41933    -5.62776   0.0186821
         449    -5.41749    -5.62729   0.0186464
         450    -5.41514    -5.62682   0.0186109
         451    -5.41259    -5.62634   0.0185757
         452    -5.41002    -5.62587   0.0185408
         453    -5.40758    -5.62538   0.0185061
         454    -5.40545     -5.6249   0.0184717
         455    -5.40319    -5.62441   0.0184375
         456    -5.40095    -5.62392   0.0184036
         457    -5.39891    -5.62343   0.0183699
         458    -5.39691    -5.62294   0.0183364
         459    -5.39482    -5.62244   0.0183032
         460     -5.3922    -5.62194   0.0182703
         461    -5.39055    -5.62144   0.0182375
         462    -5.38913    -5.62093    0.018205
         463    -5.38705    -5.62043   0.0181727
         464    -5.38566    -5.61992   0.0181406
         465    -5.38421    -5.61942   0.0181086
         466    -5.38272    -5.61891   0.0180769
         467    -5.38134     -5.6184   0.0180453
         468    -5.38008    -5.61789    0.018014
         469    -5.37941    -5.61738   0.0179827
         470    -5.37918    -5.61687   0.0179516
         471     -5.3779    -5.61637   0.0179207
         472    -5.37738    -5.61586   0.0178898
         473    -5.37689    -5.61536   0.0178592
         474    -5.37657    -5.61485   0.0178286
         475    -5.37644    -5.61435   0.0177981
         476    -5.37604    -5.61385   0.0177678
         477    -5.37658    -5.61335   0.0177375
         478     -5.3773    -5.61286   0.0177072
         479    -5.37818    -5.61237    0.017677
         480    -5.37863    -5.61188   0.0176469
         481    -5.37967     -5.6114   0.0176168
         482    -5.38098    -5.61092   0.0175868
         483    -5.38225    -5.61045   0.0175567
         484    -5.38374    -5.60998   0.0175267
         485    -5.38542    -5.60952   0.0174967
         486    -5.38636    -5.60906   0.0174667
         487    -5.38804     -5.6086   0.0174367
         488    -5.38923    -5.60815   0.0174068
         489    -5.38989    -5.60771   0.0173769
         490    -5.39074    -5.60726   0.0173471
         491    -5.39192    -5.60682   0.0173173
         492    -5.39279    -5.60639   0.0172876
         493    -5.39363    -5.60596   0.0172579
         494    -5.39443    -5.60553   0.0172283
         495    -5.39456     -5.6051   0.0171987
         496    -5.39432    -5.60468   0.0171693
         497    -5.39488    -5.60426     0.01714
         498    -5.39521    -5.60384   0.0171107
         499    -5.39421    -5.60342   0.0170815
         500    -5.39386      -5.603   0.0170525
         501    -5.39235    -5.60258   0.0170237
         502    -5.39102    -5.60216    0.016995
         503    -5.38912    -5.60173   0.0169665
         504    -5.38741    -5.60131   0.0169381
         505     -5.3853    -5.60088     0.01691
         506    -5.38279    -5.60045   0.0168821
         507    -5.38004    -5.60001   0.0168544
         508    -5.37721    -5.59958   0.0168269
         509    -5.37417    -5.59913   0.0167997
         510    -5.37034    -5.59868   0.0167727
         511    -5.36709    -5.59823    0.016746
         512    -5.36353    -5.59777   0.0167196
         513    -5.35999    -5.59731   0.0166934
         514    -5.35574    -5.59684   0.0166675
         515    -5.35187    -5.59636    0.016642
         516    -5.34778    -5.59588   0.0166167
         517    -5.34338    -5.59539   0.0165917
         518    -5.33972     -5.5949    0.016567
         519    -5.33609     -5.5944   0.0165426
         520     -5.3322     -5.5939   0.0165185
         521    -5.32807    -5.59339   0.0164946
         522    -5.32447    -5.59287   0.0164711
         523    -5.32112    -5.59235   0.0164478
         524    -5.31712    -5.59183   0.0164248
         525    -5.31338     -5.5913   0.0164021
         526     -5.3093    -5.59076   0.0163796
         527     -5.3058    -5.59022   0.0163575
         528    -5.30241    -5.58967   0.0163356
         529    -5.29959    -5.58913   0.0163139
         530    -5.29642    -5.58857   0.0162925
         531    -5.29321    -5.58802   0.0162713
         532    -5.29025    -5.58746   0.0162503
         533    -5.28754    -5.58689   0.0162296
         534    -5.28463    -5.58633    0.016209
         535    -5.28197    -5.58576   0.0161887
         536    -5.27986    -5.58519   0.0161686
         537     -5.2774    -5.58462   0.0161486
         538    -5.27491    -5.58404   0.0161289
         539    -5.27329    -5.58346   0.0161092
         540    -5.27151    -5.58289   0.0160898
         541    -5.27003    -5.58231   0.0160704
         542    -5.26827    -5.58173   0.0160512
         543    -5.26683    -5.58115   0.0160321
         544    -5.26545    -5.58057   0.0160131
         545    -5.26443    -5.57999   0.0159943
         546    -5.26409    -5.57941   0.0159754
         547    -5.26295    -5.57883   0.0159567
         548    -5.26268    -5.57825    0.015938
         549    -5.26283    -5.57768   0.0159193
         550    -5.26327    -5.57711   0.0159006
         551    -5.26416    -5.57654   0.0158819
         552    -5.26473    -5.57597   0.0158632
         553    -5.26591    -5.57541   0.0158444
         554    -5.26724    -5.57486   0.0158256
         555    -5.26932    -5.57431   0.0158066
         556    -5.27199    -5.57376   0.0157876
         557    -5.27405    -5.57323   0.0157684
         558    -5.27715    -5.57269   0.0157491
         559    -5.28021    -5.57217   0.0157296
         560    -5.28292    -5.57166     0.01571
         561    -5.28588    -5.57115   0.0156902
         562    -5.28892    -5.57064   0.0156703
         563    -5.29263    -5.57015   0.0156503
         564      -5.297    -5.56967     0.01563
         565    -5.30125    -5.56919   0.0156096
         566    -5.30566    -5.56872   0.0155889
         567    -5.31008    -5.56827   0.0155681
         568    -5.31479    -5.56782   0.0155471
         569    -5.31977    -5.56739   0.0155259
         570    -5.32531    -5.56696   0.0155045
         571    -5.33018    -5.56655   0.0154828
         572    -5.33605    -5.56614    0.015461
         573    -5.34092    -5.56575    0.015439
         574    -5.34661    -5.56537   0.0154169
         575    -5.35173      -5.565   0.0153945
         576    -5.35674    -5.56464    0.015372
         577    -5.36208    -5.56428   0.0153494
         578    -5.36775    -5.56394   0.0153266
         579     -5.3739    -5.56362   0.0153037
         580    -5.37961     -5.5633   0.0152806
